source,target,weight,layer
1,15,1469,4
1,16,24,4
1,17,10745,4
1,22,340595,4
1,24,2,4
1,25,12624,4
1,26,8855,4
1,27,2,4
1,28,13295,4
1,30,30896,4
1,31,2387,4
1,32,26770,4
1,33,10233,4
1,38,8397,4
1,43,1752,4
1,44,11588,4
1,67,358,4
1,70,47,4
1,75,53,4
1,77,1031,4
1,90,1140,4
1,93,1,4
1,95,285,4
1,96,420,4
1,98,695,4
1,104,15216,4
1,108,2328,4
1,109,582,4
1,111,2723,4
1,119,173,4
1,124,1152,4
1,133,6073,4
1,138,6,4
1,145,6245,4
1,147,870,4
1,149,12031,4
1,154,31,4
1,155,846,4
1,157,316,4
1,165,164,4
1,181,419,4
1,211,494,4
1,1,476,5
1,6,1008,5
1,7,753,5
1,14,5,5
1,17,10,5
1,25,23,5
1,29,2,5
1,30,1,5
1,33,650,5
1,98,1212,5
1,104,33871,5
1,139,255,5
1,155,7001,5
1,164,2249,5
1,165,3103,5
1,181,829,5
1,6,443391,6
1,7,13081,6
1,8,415779,6
1,9,14531,6
1,16,3597,6
1,17,193320,6
1,21,552,6
1,22,35757,6
1,25,5009,6
1,28,453,6
1,30,47395,6
1,38,164125,6
1,39,4350,6
1,44,51,6
1,50,115,6
1,6,148,7
1,7,148,7
1,18,157,7
1,22,15,7
1,34,12,7
1,44,52,7
1,154,151,7
1,155,22,7
1,157,12,7
1,211,74,7
1,5,14,8
1,6,6,8
1,7,6,8
1,17,4,8
1,30,49,8
1,33,16,8
1,98,1,8
1,108,2,8
1,155,3,8
1,181,2,8
1,211,1,8
1,6,378,9
1,9,378,9
1,25,891,9
1,27,341,9
1,28,666,9
1,38,1449,9
1,189,20,9
1,2,271,10
1,5,12,10
1,6,11779,10
1,7,36,10
1,8,2402,10
1,9,9341,10
1,13,3,10
1,17,100,10
1,21,31,10
1,22,142667,10
1,25,53,10
1,26,659,10
1,28,1227,10
1,29,13,10
1,30,32892,10
1,32,461,10
1,33,51,10
1,38,100,10
1,39,19,10
1,43,75,10
1,44,89,10
1,69,25,10
1,81,20,10
1,98,3,10
1,104,621,10
1,108,214,10
1,114,1,10
1,133,61,10
1,149,37,10
1,155,33,10
1,157,2,10
1,165,15,10
1,6,143867,11
1,8,142558,11
1,9,1309,11
1,17,450114,11
1,22,27810,11
1,24,3614,11
1,25,13322,11
1,27,4127,11
1,28,709,11
1,31,21502,11
1,32,8597,11
1,39,16897,11
1,69,45579,11
1,104,22,11
1,145,6184,11
1,149,901,11
1,155,221,11
1,157,2423,11
1,165,2,11
1,3,638,12
1,5,1875,12
1,6,10203,12
1,7,692,12
1,8,6327,12
1,9,3184,12
1,14,92,12
1,16,41569,12
1,17,1505,12
1,21,608,12
1,22,549,12
1,25,7239,12
1,26,384,12
1,27,1741,12
1,28,578,12
1,33,903,12
1,34,30,12
1,35,38,12
1,38,5774,12
1,43,2622,12
1,44,2029,12
1,50,1,12
1,59,2,12
1,67,106,12
1,69,157,12
1,95,85,12
1,98,91,12
1,104,466,12
1,108,351,12
1,109,10742,12
1,133,4,12
1,149,45,12
1,157,33,12
1,165,2,12
1,211,1,12
1,25,1685,13
1,28,48,13
1,98,2389,13
1,104,253,13
1,133,12,13
1,1,293,14
1,2,6,14
1,3,18,14
1,4,7,14
1,5,516,14
1,6,10669,14
1,7,8386,14
1,8,1690,14
1,9,593,14
1,13,3,14
1,14,89,14
1,16,95,14
1,17,2449,14
1,20,35,14
1,21,7,14
1,22,39385,14
1,24,169,14
1,25,7542,14
1,26,916,14
1,27,157,14
1,28,1472,14
1,30,2553,14
1,31,184,14
1,32,1780,14
1,33,16050,14
1,35,136,14
1,36,10,14
1,38,4011,14
1,39,48,14
1,43,1835,14
1,44,843,14
1,59,6,14
1,61,51,14
1,62,3,14
1,67,13,14
1,69,5,14
1,70,23,14
1,73,1,14
1,75,51,14
1,79,146,14
1,83,3,14
1,87,1,14
1,95,3,14
1,98,1412,14
1,104,105518,14
1,108,53,14
1,109,30,14
1,124,16,14
1,126,21,14
1,127,11,14
1,133,317,14
1,138,11,14
1,145,208,14
1,149,32,14
1,155,793,14
1,157,464,14
1,164,4,14
1,165,671,14
1,181,523,14
1,211,138,14
1,1,248,15
1,6,7597,15
1,7,2782,15
1,8,1675,15
1,9,3140,15
1,14,9,15
1,16,150,15
1,17,24697,15
1,21,8,15
1,22,19,15
1,24,1,15
1,25,33105,15
1,26,7,15
1,28,1906,15
1,30,860,15
1,33,278,15
1,38,2274,15
1,44,5,15
1,67,3,15
1,70,166,15
1,98,1,15
1,104,6802,15
1,108,4,15
1,112,16247,15
1,124,2423,15
1,138,1047,15
1,155,273,15
1,156,136,15
1,157,3622,15
1,164,185,15
1,165,1487,15
1,181,244,15
1,211,91,15
1,38,1,16
1,47,1,16
1,104,12,16
1,1,443,17
1,6,1032,17
1,7,37,17
1,8,720,17
1,9,275,17
1,10,1,17
1,17,10795,17
1,20,2,17
1,22,222,17
1,25,4,17
1,26,3,17
1,30,524,17
1,33,282,17
1,38,2058,17
1,44,49,17
1,47,47,17
1,57,78,17
1,95,31,17
1,98,1114,17
1,104,935,17
1,108,34,17
1,109,138,17
1,118,1,17
1,133,7,17
1,138,103,17
1,147,1591,17
1,149,3,17
1,165,15,17
1,13,107,18
1,17,4,18
1,25,35,18
1,33,15,18
1,38,54,18
1,98,89,18
1,104,134,18
1,108,9,18
1,109,19,18
1,155,1,18
1,165,1,18
1,211,1,18
1,1,157,19
1,6,150,19
1,7,150,19
1,21,195,19
1,22,38,19
1,25,47,19
1,30,74,19
1,33,56,19
1,34,8,19
1,98,79,19
1,104,1559,19
1,155,285,19
1,165,521,19
1,181,1,19
1,211,8,19
1,1,76,20
1,2,2,20
1,3,44,20
1,4,80,20
1,5,1206,20
1,6,1152,20
1,7,444,20
1,8,519,20
1,9,177,20
1,10,13,20
1,12,27,20
1,13,7,20
1,14,18,20
1,16,86,20
1,20,111,20
1,21,4,20
1,22,4964,20
1,25,69,20
1,26,35,20
1,27,2,20
1,28,7,20
1,30,421,20
1,33,2348,20
1,35,135,20
1,36,75,20
1,38,55,20
1,43,1313,20
1,44,1026,20
1,75,1,20
1,79,11,20
1,98,224,20
1,104,14278,20
1,108,12,20
1,109,26,20
1,124,197,20
1,127,1,20
1,133,212,20
1,139,12,20
1,149,1,20
1,155,23,20
1,164,599,20
1,165,480,20
1,211,33,20
1,1,1269,21
1,6,17194,21
1,8,9409,21
1,9,7784,21
1,15,117,21
1,16,1,21
1,17,7772,21
1,22,270,21
1,24,976,21
1,25,6355,21
1,27,21,21
1,28,1533,21
1,30,3933,21
1,32,4342,21
1,33,14301,21
1,38,3002,21
1,43,228,21
1,98,473,21
1,104,5146,21
1,109,421,21
1,139,1,21
1,154,10,21
1,155,153,21
1,157,264,21
1,165,155,21
1,5,10,22
1,6,6,22
1,8,6,22
1,14,21,22
1,17,29,22
1,22,48,22
1,25,128,22
1,27,12,22
1,28,18,22
1,30,3,22
1,33,64,22
1,36,1,22
1,38,7,22
1,44,6,22
1,98,5,22
1,104,260,22
1,157,1,22
1,211,3,22
1,17,13,23
1,25,27,23
1,98,1,23
1,104,84,23
1,1,811,24
1,2,75,24
1,3,78,24
1,4,3182,24
1,5,4994,24
1,6,34376,24
1,7,2912,24
1,8,23581,24
1,9,7877,24
1,10,2942,24
1,12,5,24
1,13,1796,24
1,14,6594,24
1,16,2580,24
1,17,1319,24
1,20,130,24
1,21,3634,24
1,22,77857,24
1,24,84,24
1,25,4613,24
1,26,10915,24
1,27,11,24
1,28,237,24
1,29,9,24
1,30,12448,24
1,31,28,24
1,33,4620,24
1,34,1292,24
1,35,7,24
1,36,1421,24
1,38,1921,24
1,39,927,24
1,41,11,24
1,43,3456,24
1,44,30572,24
1,48,312,24
1,50,10,24
1,51,15,24
1,57,160,24
1,58,1,24
1,59,1,24
1,61,4,24
1,62,1,24
1,65,15,24
1,67,24,24
1,69,503,24
1,70,36,24
1,75,218,24
1,77,942,24
1,79,4482,24
1,81,3,24
1,83,362,24
1,85,21,24
1,87,65,24
1,88,132,24
1,95,917,24
1,96,2,24
1,98,254,24
1,101,5,24
1,104,8188,24
1,108,3762,24
1,109,79,24
1,111,7,24
1,112,1,24
1,115,1,24
1,118,24,24
1,124,11,24
1,133,11,24
1,139,6,24
1,149,486,24
1,155,350,24
1,157,111,24
1,165,40,24
1,181,29,24
1,211,123,24
1,6,261,25
1,9,261,25
1,16,837,25
1,17,820,25
1,18,19,25
1,25,5437,25
1,27,16,25
1,28,1552,25
1,31,302,25
1,32,183,25
1,44,626,25
1,98,928,25
1,165,563,25
1,1,2,26
1,5,1,26
1,6,101,26
1,7,4,26
1,8,96,26
1,9,1,26
1,17,2,26
1,22,100,26
1,25,87,26
1,30,2,26
1,33,10,26
1,38,11,26
1,43,4,26
1,69,13,26
1,70,4,26
1,98,44,26
1,104,1466,26
1,108,63,26
1,109,7,26
1,149,3,26
1,155,24,26
1,165,35,26
1,211,12,26
1,1,36,27
1,5,832,27
1,6,136678,27
1,7,228,27
1,8,122805,27
1,9,13645,27
1,10,9,27
1,14,10,27
1,15,4097,27
1,16,4,27
1,22,36566,27
1,25,10237,27
1,27,491,27
1,29,59,27
1,30,1040,27
1,32,131,27
1,33,551,27
1,35,15,27
1,38,28804,27
1,39,114,27
1,43,1741,27
1,44,24,27
1,57,462,27
1,61,4,27
1,62,9,27
1,70,318,27
1,79,1,27
1,96,986,27
1,98,890,27
1,102,78,27
1,104,8108,27
1,108,2058,27
1,109,8,27
1,133,2,27
1,145,31,27
1,155,705,27
1,165,11,27
1,211,23,27
1,6,5203,28
1,7,1086,28
1,8,4117,28
1,13,4,28
1,20,267,28
1,21,110,28
1,22,18755,28
1,26,78,28
1,30,2257,28
1,34,2,28
1,35,33,28
1,38,3448,28
1,39,26,28
1,43,573,28
1,62,2,28
1,79,43,28
1,108,9,28
1,124,8,28
1,133,79,28
1,147,3,28
1,149,256,28
1,154,11,28
1,155,1108,28
1,157,4929,28
1,1,100,29
1,5,2547,29
1,6,1465,29
1,7,717,29
1,8,681,29
1,9,67,29
1,10,503,29
1,12,128,29
1,13,3,29
1,14,3071,29
1,15,148,29
1,16,41,29
1,17,542,29
1,20,15,29
1,22,3202,29
1,24,4,29
1,25,1365,29
1,26,1334,29
1,27,1,29
1,28,398,29
1,29,2,29
1,30,129,29
1,31,503,29
1,32,456,29
1,33,1855,29
1,35,107,29
1,36,147,29
1,38,556,29
1,39,85,29
1,41,1,29
1,43,3526,29
1,44,1771,29
1,66,10,29
1,69,12,29
1,75,67,29
1,79,1884,29
1,83,7,29
1,98,439,29
1,101,19,29
1,104,17135,29
1,107,363,29
1,108,175,29
1,109,84,29
1,124,2,29
1,132,1,29
1,133,56,29
1,138,13,29
1,145,168,29
1,149,388,29
1,154,3,29
1,155,562,29
1,157,117,29
1,164,4,29
1,165,193,29
1,181,32,29
1,211,178,29
1,1,390,30
1,2,56,30
1,5,99,30
1,6,2079,30
1,7,1370,30
1,8,573,30
1,9,134,30
1,13,2714,30
1,14,193,30
1,16,174,30
1,17,8,30
1,21,2014,30
1,22,67,30
1,24,32,30
1,25,131,30
1,26,1886,30
1,27,5,30
1,28,551,30
1,30,947,30
1,31,1,30
1,33,1700,30
1,35,8,30
1,36,139,30
1,38,169,30
1,43,368,30
1,44,1209,30
1,48,37,30
1,59,2,30
1,62,186,30
1,67,37,30
1,75,5,30
1,91,4,30
1,98,4908,30
1,101,2,30
1,104,12679,30
1,108,3147,30
1,124,655,30
1,133,14,30
1,138,82,30
1,139,2,30
1,145,15,30
1,154,99,30
1,155,513,30
1,157,154,30
1,164,37,30
1,165,2149,30
1,181,21,30
1,189,144,30
1,211,65,30
1,3,3,31
1,5,17,31
1,6,9,31
1,7,3,31
1,8,1,31
1,9,5,31
1,16,15,31
1,17,90,31
1,22,425,31
1,24,2,31
1,25,320,31
1,28,77,31
1,30,40,31
1,33,100,31
1,34,2,31
1,38,187,31
1,43,143,31
1,44,2374,31
1,61,4,31
1,69,314,31
1,79,10,31
1,81,19,31
1,98,1,31
1,104,1826,31
1,108,207,31
1,133,711,31
1,149,13,31
1,155,1,31
1,157,26,31
1,164,2,31
1,165,90,31
1,211,70,31
1,1,95,32
1,2,89,32
1,5,349,32
1,6,24843,32
1,7,12555,32
1,8,7141,32
1,9,5147,32
1,15,94,32
1,17,9559,32
1,18,2589,32
1,22,3184,32
1,24,543,32
1,25,17983,32
1,28,12341,32
1,30,5789,32
1,31,9304,32
1,32,5527,32
1,33,26004,32
1,38,87,32
1,39,5947,32
1,44,457,32
1,57,163,32
1,75,9596,32
1,77,5808,32
1,88,486,32
1,98,1203,32
1,104,2078,32
1,108,1171,32
1,109,273,32
1,124,72,32
1,132,2177,32
1,133,808,32
1,138,15,32
1,149,1603,32
1,154,52,32
1,157,123,32
1,165,288,32
1,211,120,32
1,1,53,33
1,3,1,33
1,5,627,33
1,6,1709,33
1,7,430,33
1,8,1170,33
1,9,109,33
1,13,1,33
1,14,6,33
1,16,15,33
1,17,293,33
1,22,3759,33
1,24,15,33
1,25,798,33
1,26,4,33
1,27,3,33
1,28,241,33
1,30,42,33
1,33,3004,33
1,35,118,33
1,36,12,33
1,38,917,33
1,43,1956,33
1,44,100,33
1,59,8,33
1,75,3,33
1,79,2,33
1,98,1671,33
1,102,4,33
1,104,39527,33
1,108,5,33
1,109,86,33
1,124,1,33
1,133,11,33
1,138,2,33
1,145,66,33
1,149,166,33
1,155,390,33
1,157,10,33
1,164,21,33
1,165,425,33
1,181,202,33
1,211,127,33
1,1,15,34
1,5,40,34
1,6,445,34
1,7,398,34
1,8,45,34
1,9,2,34
1,13,1,34
1,20,1,34
1,22,54,34
1,25,2,34
1,30,2011,34
1,38,13,34
1,43,2,34
1,44,7,34
1,83,83,34
1,95,1,34
1,98,13,34
1,104,143,34
1,127,7,34
1,155,1,34
1,165,3,34
1,6,170,35
1,7,34,35
1,8,111,35
1,9,25,35
1,16,2,35
1,17,1885,35
1,25,599,35
1,28,11119,35
1,32,781,35
1,33,2372,35
1,38,1285,35
1,75,222,35
1,104,786,35
1,107,83,35
1,109,12,35
1,133,213,35
1,138,2,35
1,145,5,35
1,157,3,35
1,164,1,35
1,165,43,35
1,1,9,36
1,6,787,36
1,7,695,36
1,8,70,36
1,9,22,36
1,13,43,36
1,14,91,36
1,17,678,36
1,24,12,36
1,25,98,36
1,26,61,36
1,28,19,36
1,30,30,36
1,33,1863,36
1,34,173,36
1,38,9,36
1,44,41,36
1,50,6,36
1,59,221,36
1,76,57,36
1,85,18,36
1,98,609,36
1,104,16694,36
1,108,1665,36
1,138,2,36
1,149,3,36
1,155,2591,36
1,157,4,36
1,165,9,36
1,181,4613,36
1,211,128,36
1,1,32,37
1,3,47,37
1,5,11,37
1,6,929,37
1,7,197,37
1,8,713,37
1,9,19,37
1,16,3,37
1,17,597,37
1,20,69,37
1,21,8,37
1,22,160,37
1,25,460,37
1,26,24,37
1,28,1,37
1,30,780,37
1,31,37,37
1,33,706,37
1,35,8,37
1,36,856,37
1,38,194,37
1,39,426,37
1,41,30,37
1,43,496,37
1,44,5,37
1,61,111,37
1,62,62,37
1,79,10,37
1,83,119,37
1,98,26,37
1,104,5177,37
1,108,64,37
1,124,5,37
1,133,9,37
1,138,7,37
1,145,21,37
1,155,10,37
1,157,8,37
1,165,51,37
1,181,83,37
1,211,55,37
1,1,84,38
1,5,1,38
1,6,112,38
1,7,51,38
1,8,1,38
1,9,60,38
1,13,26,38
1,17,41,38
1,22,53,38
1,25,190,38
1,28,38,38
1,30,21,38
1,31,7,38
1,33,134,38
1,34,35,38
1,43,176,38
1,44,8,38
1,98,1,38
1,104,221,38
1,133,20,38
1,155,9,38
1,165,2,38
1,211,12,38
1,25,4,39
1,28,60,39
1,33,7,39
1,104,69,39
1,155,43,39
1,5,65,40
1,6,17,40
1,7,14,40
1,8,3,40
1,13,19,40
1,14,2,40
1,17,5,40
1,25,4,40
1,28,4,40
1,29,1,40
1,33,121,40
1,38,2,40
1,43,369,40
1,62,8,40
1,98,94,40
1,104,1132,40
1,108,13,40
1,109,30,40
1,133,2,40
1,149,2,40
1,155,27,40
1,157,27,40
1,165,12,40
1,211,46,40
1,104,70,41
1,155,28,41
1,1,31,42
1,5,3,42
1,26,108,42
1,33,30,42
1,38,1,42
1,98,10,42
1,104,38,42
1,133,7,42
1,157,1,42
1,165,6,42
1,211,1,42
1,6,28,43
1,8,28,43
1,16,2,43
1,25,3,43
1,33,168,43
1,34,10,43
1,43,3,43
1,98,498,43
1,104,785,43
1,155,56,43
1,165,8,43
1,211,2,43
1,17,13,44
1,25,1,44
1,33,23,44
1,36,1,44
1,38,3,44
1,39,93,44
1,98,9,44
1,104,618,44
1,155,12,44
1,165,4,44
1,211,4,44
1,5,8,45
1,6,1,45
1,9,1,45
1,12,1,45
1,13,94,45
1,14,920,45
1,22,173,45
1,44,322,45
1,98,1,45
1,104,10,45
1,28,2,46
1,157,17,46
1,6,108,47
1,8,108,47
1,17,170,47
1,25,57,47
1,28,43,47
1,30,34,47
1,32,235,47
1,33,1151,47
1,38,146,47
1,43,46,47
1,98,26,47
1,104,3,47
1,124,11,47
1,149,16,47
1,155,2,47
1,164,1,47
1,165,114,47
1,211,17,47
1,1,7,48
1,6,86,48
1,7,44,48
1,25,72,48
1,98,33,48
1,104,1,48
1,139,42,48
1,155,5,48
1,165,46,48
1,6,1,49
1,7,1,49
1,17,37,49
1,25,28,49
1,33,2,49
1,38,1,49
1,104,4250,49
1,108,1,49
1,155,6,49
1,165,4,49
1,211,36,49
1,1,272,51
1,2,532,51
1,3,305,51
1,5,290,51
1,6,10294,51
1,7,9775,51
1,8,519,51
1,10,1124,51
1,13,2654,51
1,14,6108,51
1,16,3553,51
1,17,11,51
1,21,1149,51
1,22,136,51
1,24,328,51
1,25,1099,51
1,26,3200,51
1,27,684,51
1,29,497,51
1,31,331,51
1,32,1976,51
1,33,473,51
1,34,3086,51
1,35,398,51
1,36,1454,51
1,38,1750,51
1,39,1675,51
1,41,86,51
1,43,5877,51
1,59,123,51
1,79,2570,51
1,85,309,51
1,90,8,51
1,98,64,51
1,104,5618,51
1,108,234,51
1,111,6,51
1,132,9,51
1,133,120,51
1,149,7,51
1,154,189,51
1,155,20,51
1,157,14,51
1,165,7,51
1,181,3,51
1,211,4,51
1,5,4,52
1,16,37,52
1,17,3640,52
1,22,803,52
1,24,7,52
1,25,5,52
1,28,79,52
1,30,3691,52
1,32,5458,52
1,33,37,52
1,38,395,52
1,44,15,52
1,83,50,52
1,104,296,52
1,124,1,52
1,133,8,52
1,155,22,52
1,157,9,52
1,164,1,52
1,165,23,52
1,6,366,53
1,7,357,53
1,9,9,53
1,17,40,53
1,22,5,53
1,25,25,53
1,27,144,53
1,28,295,53
1,33,182,53
1,104,3,53
1,133,13,53
1,149,43,53
1,155,49,53
1,157,21,53
1,6,800,54
1,7,556,54
1,9,244,54
1,16,976,54
1,17,281,54
1,21,3,54
1,22,339,54
1,25,257,54
1,31,11,54
1,33,90,54
1,38,253,54
1,43,754,54
1,79,2,54
1,98,91,54
1,99,4,54
1,109,170,54
1,124,26,54
1,138,1,54
1,145,1,54
1,155,80,54
1,157,15,54
1,165,17,54
1,211,255,54
1,5,6,55
1,6,159,55
1,7,159,55
1,13,101,55
1,14,9,55
1,21,5,55
1,25,12,55
1,26,29,55
1,28,1,55
1,31,18,55
1,33,81,55
1,36,3,55
1,38,81,55
1,133,1,55
1,155,3,55
1,157,4,55
1,181,2,55
1,211,8,55
1,6,1015,56
1,7,1015,56
1,17,5,56
1,25,193,56
1,28,4,56
1,31,1,56
1,33,2568,56
1,38,2182,56
1,98,19,56
1,104,89,56
1,133,16,56
1,138,1,56
1,145,3,56
1,155,7,56
1,157,40,56
1,211,112,56
1,6,310417,57
1,7,25,57
1,8,298310,57
1,9,12082,57
1,13,2,57
1,22,251811,57
1,25,59,57
1,27,438,57
1,28,626,57
1,30,6290,57
1,32,165871,57
1,33,5,57
1,36,2,57
1,38,3088,57
1,104,3530,57
1,108,1,57
1,124,2904,57
1,133,176,57
1,155,26,57
1,157,19092,57
1,181,107,57
1,104,268,58
1,25,85,59
1,36,3,59
1,104,1,59
1,17,57,60
1,25,271,60
1,28,101,60
1,33,7,60
1,43,34,60
1,104,1480,60
1,112,682,60
1,157,8,60
1,6,22,61
1,7,21,61
1,17,14,61
1,22,98,61
1,25,151,61
1,26,201,61
1,28,1,61
1,33,404,61
1,38,3,61
1,98,1,61
1,139,1,61
1,155,85,61
1,157,6,61
1,165,26,61
1,211,21,61
1,6,1593,62
1,9,1593,62
1,17,377,62
1,25,16,62
1,30,2452,62
1,104,1843,62
1,157,17,62
1,6,1746,63
